Latitude,Longitude,Depth,Temperature,Salinity
25.003,53.854,0,25.977,12.9885
25.003,53.854,5,25.347,12.6735
25.003,53.854,10,25.15,12.575
25.003,53.854,15,25.02,12.51
25.003,53.854,20,24.795,12.3975
25.003,53.854,25,24.845,12.4225
25.003,53.854,30,24.815,12.4075
25.003,53.854,35,24.845,12.4225
25.003,53.854,40,24.825,12.4125
25.003,53.854,45,24.855,12.4275
25.003,53.854,50,24.741,12.3705
25.0035,53.8722,0,25.797,12.8985
25.0035,53.8722,5,25.337,12.6685
25.0035,53.8722,10,24.98,12.49
25.0035,53.8722,15,24.85,12.425
25.0035,53.8722,20,24.875,12.4375
25.0035,53.8722,25,24.795,12.3975
25.0035,53.8722,30,24.745,12.3725
25.0035,53.8722,35,24.785,12.3925
25.0035,53.8722,40,24.765,12.3825
25.0035,53.8722,45,24.75,12.375
25.0035,53.8722,50,24.721,12.3605
25.0035,53.8722,55,24.714,12.357
25.0035,53.8722,60,24.691,12.3455
25.0035,53.8722,65,24.7,12.35
25.0035,53.8722,70,24.706,12.353
25.0035,53.8722,75,24.743,12.3715
25.0035,53.8722,80,24.749,12.3745
25.0035,53.8722,85,24.741,12.3705
25.0035,53.8722,90,24.736,12.368
25.0035,53.8722,95,24.765,12.3825
25.0035,53.8722,100,24.793,12.3965
25.0035,53.8722,125,25.002,12.501
25.004,53.885,0,25.597,12.7985
25.004,53.885,5,25.107,12.5535
25.004,53.885,10,24.83,12.415
25.004,53.885,15,24.83,12.415
25.004,53.885,20,24.785,12.3925
25.004,53.885,25,24.745,12.3725
25.004,53.885,30,24.755,12.3775
25.004,53.885,35,24.775,12.3875
25.004,53.885,40,24.815,12.4075
25.004,53.885,45,24.725,12.3625
25.004,53.939,0,26.037,13.0185
25.004,53.939,5,26.047,13.0235
25.004,53.939,10,26.108,13.054
25.004,53.939,15,24.808,12.404
25.004,53.939,20,24.7,12.35
25.005,54.012,0,25.707,12.8535
25.005,54.012,5,25.597,12.7985
25.005,54.012,10,25.51,12.755
25.005,54.012,15,24.89,12.445
25.005,54.012,20,24.765,12.3825
25.005,54.012,25,24.855,12.4275
25.005,54.012,30,24.855,12.4275
25.005,54.012,35,24.845,12.4225
25.007,53.941,0,25.957,12.9785
25.007,53.941,5,26.107,13.0535
25.007,53.941,10,26.078,13.039
25.007,53.941,15,25.018,12.509
25.007,53.941,20,24.92,12.46
25.007,54.014,0,25.957,12.9785
25.007,54.014,5,25.767,12.8835
25.007,54.014,10,25.68,12.84
25.007,54.014,15,25.09,12.545
25.007,54.014,20,24.955,12.4775
25.007,54.014,25,24.995,12.4975
25.007,54.014,30,24.995,12.4975
25.007,54.014,35,24.975,12.4875
25.007,54.014,40,24.995,12.4975
25.007,54.014,45,24.975,12.4875
25.007,54.014,50,24.891,12.4455
25.007,54.014,55,24.911,12.4555
25.007,54.014,60,24.891,12.4455
25.007,54.014,65,24.911,12.4555
25.007,54.014,70,24.951,12.4755
25.007,54.014,75,25.006,12.503
25.007,54.014,80,25.016,12.508
25.007,54.014,85,25.056,12.528
25.007,54.014,90,24.996,12.498
25.008,53.908,0,28.337,14.1685
25.008,53.908,5,27.767,13.8835
25.008,53.908,10,26.958,13.479
25.008,53.908,15,26.648,13.324
25.008,53.908,20,26.28,13.14
25.0083,57.6583,0,24.93,12.465
25.0083,57.6583,5,25,12.5
25.0083,57.6583,10,25.14,12.57
25.0083,57.6583,15,25.17,12.585
25.0083,57.6583,20,25.15,12.575
25.0083,57.6583,25,25.16,12.58
25.0083,57.6583,30,25.14,12.57
25.0083,57.6583,35,25.14,12.57
25.0083,57.6583,40,25.14,12.57
25.0083,57.6583,45,25.14,12.57
25.0083,57.6583,50,25.13,12.565
25.0083,57.6583,55,25.14,12.57
25.0083,57.6583,60,25.17,12.585
25.0083,57.6583,65,25.21,12.605
25.0083,57.6583,70,25.26,12.63
25.0083,57.6583,75,25.26,12.63
25.0083,57.6583,80,25.18,12.59
25.0083,57.6583,85,24.76,12.38
25.0083,57.6583,90,24.3,12.15
25.0083,57.6583,95,23.97,11.985
25.0083,57.6583,100,23.69,11.845
25.0083,57.6583,125,22.73,11.365
25.0083,57.6583,150,20.74,10.37
25.0083,57.6583,175,19.69,9.845
25.0083,57.6583,200,19.2,9.6
25.0083,57.6583,225,18.75,9.375
25.0083,57.6583,250,18.38,9.19
25.0083,57.6583,275,18.14,9.07
25.0083,57.6583,300,17.99,8.995
25.0083,57.6583,325,17.57,8.785
25.0083,57.6583,350,16.72,8.36
25.0083,57.6583,375,15.91,7.955
25.0083,57.6583,400,15.28,7.64
25.0083,57.6583,425,14.7,7.35
25.0083,57.6583,450,14.19,7.095
25.0083,57.6583,475,13.74,6.87
25.0083,57.6583,500,13.36,6.68
25.0093,54.0111,0,9.857,4.9285
25.0093,54.0111,5,9.857,4.9285
25.0093,54.0111,10,9.918,4.959
25.0093,54.0111,15,9.918,4.959
25.0093,54.0111,20,9.9,4.95
25.0093,54.0111,25,9.9,4.95
25.0093,54.0111,30,9.831,4.9155
25.0093,54.0111,35,9.831,4.9155
25.0093,54.0111,40,9.831,4.9155
25.0093,54.0111,45,9.831,4.9155
25.0093,54.0111,50,9.92,4.96
25.0093,54.0111,55,9.92,4.96
25.0093,54.0111,60,9.92,4.96
25.0093,54.0111,65,9.92,4.96
